,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
164,300,,[마이크로닉스] Compact SFX 350W 80Plus Bronze,\52400,마이크로닉스,SFX,350W,O,싱글,27,2,3,1,1,,,O,,O,브론즈,100,3
165,300,,[마이크로닉스] Compact TFX 350W 80Plus EU Standard,\48000,마이크로닉스,TFX,350W,O,다중,14/14,2,4,2,,,,O,,,스탠다드,175,3
166,300,,[마이크로닉스] Cyclone III 350W +12V Single Rail,\29000,마이크로닉스,ATX,350W,,싱글,25,3,4,,2,,,O,,,,140,3
167,400,,[마이크로닉스] Cyclone III 400W After Cooling,\34000,마이크로닉스,ATX,400W,,싱글,33.2,3,4,,2,,,O,,,,140,5
168,500,,[마이크로닉스] Cyclone III 500W After Cooling,\36700,마이크로닉스,ATX,500W,,싱글,41.5,3,5,,2,,,O,,,,140,5
169,600,,[마이크로닉스] Cyclone III 600W After Cooling,\43900,마이크로닉스,ATX,600W,,싱글,49.9,3,5,,2,,,O,,,,140,5
170,1000,,[마이크로닉스] Performance II HV 1000W Bronze,\183900,마이크로닉스,ATX,1000W,O,싱글,83,5,12,,6,O,세미,O,,O,브론즈,160,3
171,500,,[마이크로닉스] Performance II PV 500W 80Plus Bronze Surge 4K,\63000,마이크로닉스,ATX,500W,O,싱글,41.7,3,6,,2,O,,O,,O,브론즈,140,3
172,600,,[마이크로닉스] Performance II PV 600W 80Plus Bronze Surge 4K,\84800,마이크로닉스,ATX,600W,O,싱글,50,4,6,,2,O,,O,,O,브론즈,140,3
173,700,,[마이크로닉스] Performance II PV 700W 80Plus Bronze Surge 4K,\101900,마이크로닉스,ATX,700W,O,싱글,58.4,4,6,,4,O,,O,,O,브론즈,140,3
174,600,,[마이크로닉스] Strike X LED Series 650W 85plus Modular,\78000,마이크로닉스,ATX,650W,O,싱글,43.75,4,6,1,1,,세미,O,,,,160,3
175,500,,[마이크로닉스] ZERO PLUS 500W Active PFC,\52800,마이크로닉스,ATX,500W,O,싱글,37.5,3,5,,2,O,,O,,,,140,3
176,600,,[마이크로닉스] ZERO PLUS 600W Active PFC,\67200,마이크로닉스,ATX,600W,O,싱글,45,3,5,,2,O,,O,,,,140,3
177,400,,[마이크로닉스] ZERO POWER 400W,\35000,마이크로닉스,ATX,400W,,싱글,33.2,3,5,,2,,,O,,,,140,3
178,500,,[마이크로닉스] ZERO POWER 500W,\41000,마이크로닉스,ATX,500W,,싱글,41.5,3,5,,2,,,O,,,,140,3
179,600,,[마이크로닉스] ZERO POWER 600W,\47500,마이크로닉스,ATX,600W,,싱글,49.9,3,5,,2,,,O,,,,140,3
180,,, ,,,,,,,,,,,,,,,,,,,
181,,,-- 마이리플 / 모드컴 --,,,,,,,,,,,,,,,,,,,
182,,, ,,,,,,,,,,,,,,,,,,,
183,0,,[마이리플] DC 120W D3 (12V-5A 어댑터),\69870,마이리플,DC to DC,60W,,,6,1,2,,,,,,,,,,
184,100,,[모드컴] ITX 120W DC (12V 10A 어댑터 산업용),\62300,모드컴,DC to DC,120W,,,6,1,1,,,,,,,,,,
185,100,,[모드컴] ITX 120W DC (12V 5A 어댑터 산업용),\36000,모드컴,DC to DC,120W,,,6,1,1,,,,,,,,,,
186,100,,[모드컴] ITX 120W DC (단품 산업용),\25740,모드컴,DC to DC,120W,,,6,1,1,,,,,,,,,,
187,200,,[모드컴] ITX 200W DC (24V 6.3A 어댑터 산업용),\86000,모드컴,DC to DC,200W,,,9,1,1,,,,,,,,,,
